iter	Passed	Remaining
0	2	2256
1	4	2092
2	6	2022
3	9	2248
4	11	2232
5	15	2511
6	17	2541
7	20	2561
8	25	2757
9	27	2691
10	29	2610
11	30	2544
12	32	2486
13	34	2435
14	36	2386
15	38	2391
16	41	2372
17	42	2340
18	44	2318
19	46	2299
20	49	2285
21	51	2267
22	53	2270
23	55	2258
24	57	2251
25	59	2237
26	61	2227
27	64	2223
28	66	2214
29	68	2218
30	70	2214
31	72	2202
32	75	2199
33	77	2206
34	79	2194
35	81	2194
36	84	2191
37	86	2185
38	88	2179
39	90	2168
40	92	2159
41	94	2152
42	96	2158
43	99	2171
44	101	2164
45	103	2156
46	105	2144
47	106	2120
48	107	2094
49	108	2069
50	109	2045
51	110	2022
52	112	2010
53	113	1993
54	114	1974
55	115	1955
56	117	1935
57	118	1920
58	119	1902
59	120	1885
60	121	1869
61	122	1852
62	123	1836
63	124	1822
64	125	1809
65	127	1805
66	129	1796
67	130	1787
68	131	1773
69	132	1762
70	133	1748
71	134	1735
72	135	1722
73	136	1709
74	137	1698
75	138	1686
76	139	1674
77	140	1665
78	142	1657
79	143	1654
80	145	1647
81	146	1637
82	146	1621
83	147	1611
84	151	1630
85	153	1635
86	158	1663
87	161	1670
88	163	1677
89	166	1682
90	169	1689
91	172	1703
92	175	1712
93	178	1716
94	181	1724
95	183	1726
96	185	1729
97	188	1739
98	192	1748
99	195	1755
100	197	1756
101	200	1761
102	204	1783
103	209	1803
104	212	1808
105	214	1807
106	216	1810
107	219	1816
108	222	1818
109	225	1823
110	227	1825
111	230	1829
112	233	1832
113	236	1835
114	238	1833
115	240	1831
116	242	1827
117	244	1826
118	250	1852
119	252	1853
120	255	1854
121	257	1850
122	259	1850
123	263	1861
124	266	1862
125	268	1860
126	270	1856
127	272	1855
128	274	1854
129	277	1856
130	280	1857
131	282	1855
132	284	1853
133	286	1852
134	288	1850
135	291	1852
136	294	1853
137	296	1851
138	298	1848
139	300	1846
140	302	1844
141	306	1849
142	309	1856
143	312	1855
144	314	1853
145	317	1855
146	319	1855
147	323	1862
148	326	1864
149	328	1864
150	330	1860
151	332	1857
152	335	1857
153	338	1858
154	340	1857
155	343	1859
156	346	1862
157	349	1860
158	352	1863
159	355	1866
160	357	1863
161	359	1859
162	361	1856
163	363	1853
164	366	1852
165	371	1866
166	374	1867
167	376	1864
168	380	1869
169	383	1871
170	386	1873
171	389	1876
172	392	1876
173	395	1877
174	398	1878
175	401	1878
176	403	1874
